County,2020,2021,2022
Atlantic County,274172,275130,275638
Bergen County,953617,954879,952997
Burlington County,461648,464411,466103
Camden County,523074,524124,524907
Cape May County,95040,95768,95634
Cumberland County,153692,152089,151356
Essex County,859924,854121,849477
Gloucester County,302554,304620,306601
Hudson County,721832,703447,703366
Hunterdon County,128786,129668,129777
Mercer County,386441,382116,380688
Middlesex County,861314,862328,861418
Monmouth County,642771,646392,644098
Morris County,508384,510444,511151
Ocean County,638422,649741,655735
Passaic County,523406,518345,513936
Salem County,64842,65058,65117
Somerset County,344725,346331,346875
Sussex County,143915,145645,146084
Union County,573617,572810,569815
Warren County,109513,110494,110926